cpf,nome,idade,cidade
226.966.639-98,Cliente_51406,52,São Paulo
259.366.843-18,Cliente_59465,81,Rio de Janeiro
258.552.751-40,Cliente_29871,22,São Paulo
458.195.404-50,Cliente_80922,72,Porto Alegre
427.602.911-20,Cliente_80276,40,Porto Alegre
454.342.241-40,Cliente_42622,87,São Paulo
478.735.937-11,Cliente_92439,63,Belo Horizonte
458.195.404-50,Duplicata_Cliente_80922,72,Porto Alegre
437.045.202-33,Cliente_33396,77,Rio de Janeiro
159.238.205-36,Cliente_17445,47,São Paulo
862.668.258-13,Cliente_40316,33,Belo Horizonte
827.415.680-30,Cliente_21036,43,São Paulo
454.342.241-40,Duplicata_Cliente_42622,87,São Paulo
105.284.779-00,Cliente_32215,51,Rio de Janeiro
173.972.625-11,Cliente_15638,23,Porto Alegre
869.381.010-35,Cliente_48797,58,Porto Alegre
014.706.746-45,Cliente_64135,20,São Paulo
997.896.292-14,Cliente_8153,52,Porto Alegre
106.052.570-43,Cliente_78910,20,Porto Alegre
213.721.759-70,Cliente_34047,69,Belo Horizonte
334.570.121-99,Cliente_3030,65,Rio de Janeiro
729.993.242-35,Cliente_57504,32,Belo Horizonte
069.634.850-03,Cliente_38435,90,Belo Horizonte
634.426.644-97,Cliente_88862,82,Belo Horizonte
751.225.733-36,Cliente_33991,21,Porto Alegre
302.316.050-30,Cliente_34494,39,Porto Alegre
294.308.363-15,Cliente_38808,58,Belo Horizonte
358.781.308-66,Duplicata_Cliente_51218,40,Rio de Janeiro
398.779.199-31,Cliente_83536,27,Rio de Janeiro
668.242.825-10,Cliente_79056,83,Belo Horizonte
394.724.374-00,Cliente_27677,80,São Paulo
364.466.701-25,Cliente_99497,86,Rio de Janeiro
948.249.971-94,Cliente_81704,59,São Paulo
626.463.566-92,Cliente_79179,49,Porto Alegre
046.495.616-12,Cliente_73897,59,Porto Alegre
311.139.557-08,Cliente_47737,25,Rio de Janeiro
535.110.752-03,Cliente_47972,47,Porto Alegre
413.913.234-59,Cliente_51537,21,São Paulo
386.780.845-70,Cliente_81203,77,São Paulo
003.363.538-20,Cliente_78034,31,Porto Alegre
807.086.716-75,Cliente_59735,66,São Paulo
454.808.081-33,Cliente_71586,41,Rio de Janeiro
568.543.972-51,Cliente_72773,25,Belo Horizonte
887.204.798-67,Cliente_33838,67,Rio de Janeiro
225.643.669-10,Cliente_90067,70,Porto Alegre
756.689.296-71,Cliente_92361,25,Porto Alegre
898.738.125-04,Cliente_32208,57,Porto Alegre
957.195.118-81,Duplicata_Cliente_61274,34,Porto Alegre
913.516.188-49,Cliente_51390,55,São Paulo
204.295.292-36,Cliente_20808,26,Porto Alegre
